date,revenue,category,region,price,quantity
2024-05-01,1500,Software,North,150,10
2024-05-02,1620,Software,South,162,10
2024-05-03,1750,Services,West,175,10
2024-05-04,1880,Hardware,East,188,10
2024-05-05,2010,Software,North,201,10
2024-05-06,2140,Services,South,214,10
2024-05-07,2270,Hardware,West,227,10
2024-05-08,2400,Software,East,240,10
2024-05-09,2530,Services,North,253,10
2024-05-10,2660,Hardware,South,266,10
2024-05-11,2790,Software,West,279,10
2024-05-12,-320,Software,West,-160,2
2024-05-13,2920,Hardware,East,292,10
2024-05-14,3050,Software,North,305,10
2024-05-15,3180,Services,South,318,10
2024-05-16,3310,Hardware,West,331,10
2024-05-17,3440,Software,East,344,10
2024-05-18,3570,Services,North,357,10
2024-05-19,3700,Hardware,South,370,10
2024-05-20,3830,Software,West,383,10
2024-05-21,3960,Services,East,396,10
2024-05-22,4090,Hardware,North,409,10
2024-05-23,4220,Software,South,422,10
2024-05-23,4220,Software,South,422,10
