date,revenue,category,region,price,quantity
2024-02-01,980,Software,North,98,10
2024-02-02,1010,Services,West,101,10
2024-02-03,995,Hardware,East,99.5,10
2024-02-04,1005,Software,South,100.5,10
2024-02-05,990,Services,North,99,10
2024-02-06,1000,Hardware,West,100,10
2024-02-07,1650,Software,East,165,10
2024-02-08,1005,Services,South,100.5,10
2024-02-09,985,Hardware,North,98.5,10
2024-02-10,1720,Software,West,172,10
2024-02-11,1000,Services,East,100,10
2024-02-12,995,Hardware,South,99.5,10
2024-02-13,1008,Software,North,100.8,10
2024-02-14,1002,Services,West,100.2,10
2024-02-15,988,Hardware,East,98.8,10
2024-02-16,1001,Software,South,100.1,10
2024-02-17,1004,Services,North,100.4,10
2024-02-18,780,Hardware,West,78,10
2024-02-19,1003,Software,East,100.3,10
2024-02-20,1006,Services,South,100.6,10
2024-02-21,1001,Hardware,North,100.1,10
2024-02-22,1760,Software,West,176,10
2024-02-23,998,Services,East,99.8,10
2024-02-24,1007,Hardware,South,100.7,10
