date,revenue,category,region,price,quantity
2024-01-01,1200,Software,North,120,10
2024-01-02,1320,Software,North,120,11
2024-01-03,1080,Services,West,108,10
2024-01-04,1540,Hardware,East,140,11
2024-01-05,1680,Software,South,140,12
2024-01-06,1170,Services,North,117,10
2024-01-07,1800,Hardware,West,150,12
2024-01-08,1430,Software,East,130,11
2024-01-09,1560,Services,South,130,12
2024-01-10,1950,Hardware,North,150,13
2024-01-11,1760,Software,West,160,11
2024-01-12,1890,Services,East,135,14
2024-01-13,2100,Hardware,South,175,12
2024-01-14,1980,Software,North,180,11
2024-01-15,2160,Services,West,180,12
2024-01-16,2280,Hardware,East,190,12
2024-01-17,2090,Software,South,190,11
2024-01-18,2400,Services,North,200,12
2024-01-19,2520,Hardware,West,210,12
2024-01-20,2310,Software,East,210,11
2024-01-21,2640,Services,South,220,12
2024-01-22,2750,Hardware,North,250,11
2024-01-23,2880,Software,West,240,12
2024-01-24,3000,Services,East,250,12
