date,revenue,category,region,price,quantity
2024-03-01,2400,Enterprise,North,240,10
2024-03-02,1260,Retail,South,126,10
2024-03-03,1760,Online,West,176,10
2024-03-04,2100,Channel,East,210,10
2024-03-05,2520,Enterprise,North,252,10
2024-03-06,1350,Retail,South,135,10
2024-03-07,1840,Online,West,184,10
2024-03-08,2190,Channel,East,219,10
2024-03-09,2640,Enterprise,North,264,10
2024-03-10,1440,Retail,South,144,10
2024-03-11,1920,Online,West,192,10
2024-03-12,2280,Channel,East,228,10
2024-03-13,2760,Enterprise,North,276,10
2024-03-14,1530,Retail,South,153,10
2024-03-15,2000,Online,West,200,10
2024-03-16,2370,Channel,East,237,10
2024-03-17,2880,Enterprise,North,288,10
2024-03-18,1620,Retail,South,162,10
2024-03-19,2080,Online,West,208,10
2024-03-20,2460,Channel,East,246,10
2024-03-21,3000,Enterprise,North,300,10
2024-03-22,1710,Retail,South,171,10
2024-03-23,2160,Online,West,216,10
2024-03-24,2550,Channel,East,255,10
