date,revenue,category,region,price,quantity
2024-04-01,900,Core,North,90,10
2024-04-02,990,Core,South,99,10
2024-04-03,1080,Core,West,108,10
2024-04-04,1170,Core,East,117,10
2024-04-05,1260,Core,North,126,10
2024-04-06,1320,Core,South,132,10
2024-04-07,1410,Core,West,141,10
2024-04-08,1500,Core,East,150,10
2024-04-09,1620,Launch,North,180,9
2024-04-10,1800,Launch,South,180,10
2024-04-11,1980,Launch,West,180,11
2024-04-12,2160,Launch,East,180,12
2024-04-13,2340,Launch,North,180,13
2024-04-14,2520,Launch,South,180,14
2024-04-15,2700,Launch,West,180,15
2024-04-16,2880,Launch,East,180,16
2024-04-17,2760,Expansion,North,230,12
2024-04-18,2990,Expansion,South,230,13
2024-04-19,3220,Expansion,West,230,14
2024-04-20,3450,Expansion,East,230,15
2024-04-21,3680,Expansion,North,230,16
2024-04-22,3910,Expansion,South,230,17
2024-04-23,4140,Expansion,West,230,18
2024-04-24,4370,Expansion,East,230,19
